Energia	Absorção
7072.0	0.004202399253575238
7072.5	0.004251416682599703
7073.0	0.004301869015580668
7073.5	0.004353454209199112
7074.0	0.004406210712538951
7074.5	0.004460177371066414
7075.0	0.004515396994070808
7075.5	0.0045719131836060595
7076.0	0.004629771127255331
7076.5	0.004689019183660249
7077.0	0.004749707296991675
7077.5	0.0048118877897143225
7078.0	0.004875616551733678
7078.5	0.004940951058484464
7079.0	0.005007952352842177
7079.5	0.005076683855976165
7080.0	0.00514721334926117
7080.5	0.005219610992365783
7081.0	0.005293951701546296
7081.5	0.005370313564117468
7082.0	0.005448779423981759
7082.5	0.005529436485247026
7083.0	0.005612376312226513
7083.5	0.005697696811350402
7084.0	0.005785500249254265
7084.5	0.0058758956310729195
7085.0	0.005968997511293501
7085.5	0.006064928768431621
7086.0	0.0061638178303552085
7086.5	0.006265802638107597
7087.0	0.006371028663995977
7087.5	0.0064796512898852516
7088.0	0.006591835410815727
7088.5	0.006707757020532341
7089.0	0.006827603211484673
7089.5	0.006951574553120786
7090.0	0.007079884695504919
7090.5	0.007212762747611344
7091.0	0.007350453673706665
7091.5	0.007493219878879062
7092.0	0.0076413435873321335
7092.5	0.007795128031531823
7093.0	0.007954899434117967
7093.5	0.008121009782580442
7094.0	0.008293838018406108
7094.5	0.0084737951900488
7095.0	0.008661324056547029
7095.5	0.008856907015170145
7096.0	0.009061066497800658
7096.5	0.009274370520286537
7097.0	0.009497439420940468
7097.5	0.009730949427980626
7098.0	0.009975640983559146
7098.5	0.010232324293114452
7099.0	0.0105018912168405
7099.5	0.010785322800950643
7100.0	0.011083701961911495
7100.5	0.011398226963441426
7101.0	0.011730226875420588
7101.5	0.012081180600241713
7102.0	0.01245273907021939
7102.5	0.012846749426910884
7103.0	0.013265287524465418
7103.5	0.013710694396796544
7104.0	0.014185618670489165
7104.5	0.014693074436616542
7105.0	0.015236502689998113
7105.5	0.01581985774054273
7106.0	0.016447707497972686
7106.5	0.017125367052661645
7107.0	0.01785906872364498
7107.1	0.01801511888911963
7107.2	0.018173049095883135
7107.3	0.018332509734739474
7107.4	0.018493542822213334
7107.5	0.01865619235674095
7107.6	0.018826194783089858
7107.7	0.018998349168991197
7107.8	0.01917226349234195
7107.9	0.019347989679224513
7108.0	0.019525582430397447
7108.01	0.01953850766471057
7108.11	0.01972220311790402
7108.21	0.019909315782978405
7108.31	0.02009994753018698
7108.41	0.020294205382753033
7108.51	0.020492201120487538
7108.61	0.02069405167617147
7108.71	0.020899880324702764
7108.81	0.02110981707947857
7108.91	0.0213239986923953
7109.01	0.02154257023937784
7109.11	0.021765684723997245
7109.21	0.021993505455764572
7109.31	0.02222620565374862
7109.41	0.02246397082486972
7109.51	0.022706999953046706
7109.61	0.02295550708472613
7109.71	0.023209723707176104
7109.81	0.02346990112678018
7109.91	0.023736314432860395
7110.01	0.02400926566873578
7110.11	0.024289088588310016
7110.21	0.02457615579095303
7110.31	0.024870885856382523
7110.41	0.025173752461457057
7110.51	0.025485297857174554
7110.61	0.02580614713843541
7110.71	0.02613702766677558
7110.81	0.026478794438834337
7110.91	0.026832456247586622
7111.01	0.027199209374839262
7111.11	0.02758046890543334
7111.21	0.027977888546359596
7111.31	0.028393345960613048
7111.41	0.028828846446292015
7111.51	0.029286268459156124
7111.61	0.029766851090301513
7111.71	0.030270374347547004
7111.81	0.030794211801716976
7111.91	0.0313329001154544
7112.01	0.03187957553270659
7112.11	0.032429237690652764
7112.21	0.03297897000826753
7112.31	0.03353067472424902
7112.41	0.03409011484097942
7112.51	0.034664477166092805
7112.61	0.03526017595810408
7112.71	0.035881284441614654
7112.81	0.03652815777517285
7112.91	0.03719630098340114
7113.01	0.037876879497409345
7113.11	0.03856055732468712
7113.21	0.03923894186261819
7113.31	0.039909800289659195
7113.41	0.04057831887193357
7113.51	0.04125486815977663
7113.61	0.041951478356249086
7113.71	0.042679212491579084
7113.81	0.043447005022998524
7113.91	0.04426158255828137
7114.01	0.045127816635998186
7114.11	0.0460492192034016
7114.21	0.047028505479304344
7114.31	0.04806806564902621
7114.41	0.04917031764464858
7114.51	0.050337937046753344
7114.61	0.05157400770970004
7114.71	0.05288211292955683
7114.81	0.05426641868438526
7114.91	0.05573169741717878
7115.01	0.05728340731232438
7115.11	0.05892773986147969
7115.21	0.0606716634656268
7115.31	0.06252301856682638
7115.41	0.06449058503321002
7115.51	0.0665841852183805
7115.61	0.068814834586689
7115.71	0.07119491215762756
7115.81	0.07373837058845278
7115.91	0.07646097003974767
7116.01	0.07938049222186815
7116.11	0.08251702182638211
7116.21	0.08589318435545448
7116.31	0.08953445133622465
7116.41	0.09346940589695314
7116.51	0.09773004005375296
7116.61	0.10235205596114395
7116.71	0.10737511959673023
7116.81	0.11284315408410836
7116.91	0.11880453788402162
7117.01	0.12533037801877842
7117.11	0.13265825811640256
7117.21	0.14021801393680927
7117.31	0.14896971910541185
7117.41	0.157998562892596
7117.51	0.16839069228079281
7117.61	0.17910607936915648
7117.71	0.19127494488899183
7117.81	0.20381197822453861
7117.91	0.21778676550538184
7118.01	0.23217704864956246
7118.21	0.264172683733029
7118.41	0.29987329236187577
7118.61	0.339437011258049
7118.81	0.3827664096501378
7119.01	0.42913236606473265
7119.21	0.47707734311552363
7119.41	0.5246290296398952
7119.61	0.5698189514559774
7119.81	0.611475323183604
7120.01	0.6497335093811021
7120.21	0.6855541822111709
7120.41	0.719536196065379
7120.61	0.7511932294895195
7120.81	0.7793680046959146
7121.01	0.8033055719399378
7121.21	0.8234216569866655
7121.41	0.8412478017993903
