Energia	Absorção
7072.0	0.004203541935170646
7072.5	0.004253717761375412
7073.0	0.0043050239918887125
7073.5	0.004357499510396838
7074.0	0.004411183994130695
7074.5	0.004466119500955043
7075.0	0.00452235007259619
7075.5	0.004579921337869678
7076.0	0.004638881306224905
7076.5	0.004699280764517432
7077.0	0.004761172483464364
7077.5	0.0048246120111889714
7078.0	0.004889657673220687
7078.5	0.004956370572495107
7079.0	0.005024814986126301
7079.5	0.005095058762179119
7080.0	0.005167173319669194
7080.5	0.0052412332517906305
7081.0	0.00531731830977755
7081.5	0.005395511815814859
7082.0	0.00547590145658286
7082.5	0.0055585804735741855
7083.0	0.005643647663093792
7083.5	0.005731206582714346
7084.0	0.005821367535137771
7084.5	0.005914247171422931
7085.0	0.006009969681302563
7085.5	0.006108665999638663
7086.0	0.0062104757902840205
7086.5	0.006315547446082229
7087.0	0.006424039279184604
7087.5	0.006536119124277883
7088.0	0.006651967115990383
7088.5	0.006771774101802766
7089.0	0.0068957456097711286
7089.5	0.007024100261437768
7090.0	0.0071570725492373435
7090.5	0.007294914820358421
7091.0	0.0074378972767434786
7091.5	0.007586310355722752
7092.0	0.0077404671106480975
7092.5	0.007900704797982222
7093.0	0.00806738725793254
7093.5	0.008240909278946579
7094.0	0.008421697391256583
7094.5	0.008610213834602616
7095.0	0.00880696171627258
7095.5	0.009012488978825294
7096.0	0.009227392764585911
7096.5	0.009452325367230533
7097.0	0.009688002564004726
7097.5	0.009935207980218894
7098.0	0.01019480499241757
7098.5	0.010467745457370212
7099.0	0.010755081218468156
7099.5	0.011057978786300065
7100.0	0.011377735209544281
7100.5	0.011715796326495054
7101.0	0.012073779777856447
7101.5	0.012453501987259379
7102.0	0.012857010299818642
7102.5	0.013286620278729958
7103.0	0.013744964905036301
7103.5	0.014235050522523484
7104.0	0.01476032865350809
7104.5	0.0153247844790624
7105.0	0.015933051506211715
7105.5	0.016590553612420993
7106.0	0.01730369668662014
7106.5	0.018080120182847964
7107.0	0.01892904429602258
7107.1	0.019110529537279618
7107.2	0.019293951820949524
7107.3	0.019479374233829446
7107.4	0.01966686303689499
7107.5	0.019861760372515462
7107.6	0.020061910576735686
7107.7	0.02026434698300076
7107.8	0.020469150929634042
7107.9	0.020676407722681988
7107.94	0.02075319506765596
