Energia	Absorção
6499.0	0.003635513153444858
6499.5	0.003678802788136324
6500.0	0.0037230518088043644
6500.5	0.003768292441150079
6501.0	0.0038145575822433457
6501.5	0.0038618819194707666
6502.0	0.003910301930535673
6502.5	0.003959855659668534
6503.0	0.004010582941416545
6503.5	0.004062525176854039
6504.0	0.004115726228740851
6504.5	0.0041702317501535425
6505.0	0.004226089632064584
6505.5	0.004283350450921541
6506.0	0.004342066797278296
6506.5	0.004402294618532594
6507.0	0.0044640918761885045
6507.5	0.00452752055996273
6508.0	0.004592645121257476
6508.5	0.004659533592108402
6509.0	0.0047282582565534
6509.5	0.0047988945316846335
6510.0	0.004871522757965265
6510.5	0.0049462273040711
6511.0	0.005023097909628125
6511.5	0.005102229013843737
6512.0	0.0051837208744547
6512.5	0.005267680015306325
6513.0	0.005354219226352472
6513.5	0.0054434577874451365
6514.0	0.0055355237062303655
6514.5	0.005630551927831526
6515.0	0.005728687020324396
6515.5	0.005830082727157989
6516.0	0.005934903309892088
6516.5	0.0060433242195660295
6517.0	0.006155533439436246
6517.5	0.006271732156345037
6518.0	0.006392135879668526
6518.5	0.006516976679212567
6519.0	0.006646503632791936
6519.5	0.006780985511705407
6520.0	0.006920711899683724
6520.5	0.00706599610215427
6521.0	0.007217176712768215
6521.5	0.007374621417823555
6522.0	0.007538729457950614
6522.5	0.007709935432535095
6523.0	0.007888713551720303
6523.5	0.008075582559778157
6524.0	0.008271110658480178
6524.5	0.008475922444574818
6525.0	0.00869070629484396
6525.5	0.008916222422528198
6526.0	0.009153314738175154
6526.5	0.009402921367750255
6527.0	0.009666090317908112
6527.5	0.009943997602949369
6528.0	0.010237967162094325
6528.5	0.010549498609392203
6529.0	0.010880299683211843
6529.5	0.011232327199736861
6530.0	0.011607838748361162
6530.5	0.012009460947514192
6531.0	0.01244027694639102
6531.5	0.012903944362066776
6532.0	0.013404856184212595
6532.5	0.013948363445738628
6533.0	0.014541097479805086
6533.5	0.015191444129965538
6534.0	0.01591026949981049
6534.1	0.016066292693383864
6534.2	0.016223663324084585
6534.3	0.016382454571108908
6534.4	0.01654316526145515
6534.5	0.016712083435050946
6534.6	0.016887472037091022
6534.7	0.017064643123223335
6534.8	0.01724370881203297
6534.9	0.017425255656037905
6535.0	0.01761698873085592
6535.1	0.017816904448278884
6535.2	0.018019285431836195
6535.3	0.018224313174886136
6535.4	0.018432705594436615
6535.44	0.018527739634567136
6535.54	0.018751419568657307
6535.64	0.018981778726880155
6535.74	0.0192191420517218
6535.84	0.019464025154399878
6535.94	0.019718404097002838
6536.04	0.01998355067577627
6536.14	0.02025832893475631
6536.24	0.020543391444390283
6536.34	0.020839666260112022
6536.44	0.021149780895509344
6536.54	0.021475793991029758
6536.64	0.02181688334371597
6536.74	0.022174461513466307
6536.84	0.022550406542528354
6536.94	0.02294869159130055
6536.95	0.022988062894043378
6537.05	0.023413932247800966
6537.15	0.02386692042419469
6537.25	0.02435080722941637
6537.35	0.02487014230585083
6537.45	0.025432709055472687
6537.55	0.02604339056715734
6537.65	0.02671012689559311
6537.75	0.02744323250302871
6537.85	0.028255561863570592
6537.95	0.029165732033293194
6538.05	0.030191561139431115
6538.15	0.03135714908303805
6538.25	0.03269185034476412
6538.35	0.034228808163034904
6538.45	0.036004028045144756
6538.55	0.03803859544635672
6538.65	0.04032877084260535
6538.75	0.04282091186893042
6538.85	0.04539425494834612
6538.95	0.047879982164993416
6539.05	0.050113955043360886
6539.15	0.05202550306850987
6539.25	0.05367028271171952
6539.35	0.055188657042354525
6539.45	0.05673191453761167
6539.55	0.05839735891165332
6539.65	0.06023724055818374
6539.75	0.062292452549164504
6539.85	0.06462865698848792
6539.95	0.06734982875802371
6540.05	0.07055885736012535
6540.15	0.0743247639804459
6540.25	0.07863640165945814
6540.35	0.08337519324448023
6540.37	0.0840947707711405
6540.47	0.08904072438054181
6540.57	0.0938850775156338
6540.67	0.09836637903515899
6540.77	0.10226186878024623
6540.87	0.10538015517899336
6540.97	0.10755281194732554
6541.07	0.10865709273248084
6541.17	0.10866429428151889
6541.27	0.10767642436580464
6541.37	0.10592232798318832
6541.47	0.10371222450259582
6541.57	0.10136195712537462
6541.67	0.09910743141097064
6541.77	0.09704948471118799
6541.87	0.09516574030482357
6541.97	0.09338295857243417
6542.07	0.09165893727295098
6542.17	0.09002128309031844
6542.27	0.08855298839435512
6542.37	0.08735558876038899
6542.47	0.08651937657469669
6542.57	0.08610756344514917
6542.67	0.08614974778305073
6542.77	0.08664212964114638
6542.87	0.08755507256390135
6542.97	0.08884786027313094
6543.07	0.09048637380779288
6543.17	0.09245620111822742
6543.27	0.09476595586579174
6543.37	0.09744238314450505
6543.47	0.10052279539287307
6543.57	0.10404816400921418
6543.67	0.10805773497410026
6543.77	0.11258591593714601
6543.87	0.11766160932402772
6543.97	0.12330962221090663
6544.07	0.12962103024762783
6544.17	0.13645056937278396
6544.27	0.14401099187473718
6544.37	0.15216428447482813
6544.47	0.16107842587794977
6544.57	0.17059776147198494
6544.67	0.1807777888376032
6544.77	0.1914808393321155
6544.87	0.20256826187652813
6544.97	0.21397513511049499
6545.07	0.22536113101351843
6545.17	0.23676112943125008
6545.27	0.24773767318491094
6545.37	0.25845723935123827
6545.47	0.26861415372789915
6545.57	0.27853264267431954
6545.67	0.2881151115498688
6545.77	0.29768547340854556
6545.87	0.3071841554612283
6545.97	0.31669530259412915
6546.07	0.3261896655077058
6546.17	0.3353962126283105
6546.27	0.34451208020664614
6546.37	0.3529725799677683
6546.47	0.3613279881369617
