Energia	Absorção
9619.0	0.006464160084670846
9619.5	0.00655039410045134
9620.0	0.006638790420144879
9620.5	0.00672943008793769
9621.0	0.0068223979000616546
9621.5	0.006917783905612582
9622.0	0.007015681155322801
9622.5	0.007116189453606833
9623.0	0.007219412356924855
9623.5	0.007325459425010098
9624.0	0.007434446220868844
9624.5	0.007546495061189565
9625.0	0.007661733890729221
9625.5	0.00778029853354065
9626.0	0.00790233306817714
9626.5	0.008027989077283304
9627.0	0.008157427148413325
9627.5	0.008290817624440104
9628.0	0.00842834097875982
9628.5	0.008570188940905625
9629.0	0.008716564871752217
9629.5	0.008867684889129528
9630.0	0.009023779368640999
9630.5	0.009185092943663566
9631.0	0.0093518875069842
9631.5	0.009524440709981642
9632.0	0.009703051215490307
9632.5	0.009888037196982048
9633.0	0.010079738964998097
9633.5	0.010278521968785604
9634.0	0.010484777921911322
9634.5	0.010698927803898148
9635.0	0.010921424111452506
9635.5	0.011152754985714579
9636.0	0.011393445337872003
9636.5	0.011644063602842055
9637.0	0.011905223990499045
9637.5	0.012177591363333679
9638.0	0.012461887239726098
9638.5	0.012758896172423517
9639.0	0.013069471751813264
9639.5	0.013394544860423234
9640.0	0.013735132302626907
9640.5	0.014092347310371183
9641.0	0.014467411174517938
9641.5	0.014861665626594679
9642.0	0.015276590098204592
9642.5	0.015713816729209157
9643.0	0.016175153630411252
9643.5	0.016662607771033663
9644.0	0.01717841236865237
9644.5	0.017725061032812083
9645.0	0.018305345660687353
9645.5	0.018922404088062453
9646.0	0.01957977374358431
9646.5	0.020281459185584338
9647.0	0.021032010519832698
9647.5	0.021836623579157412
9648.0	0.02270125661206432
9648.5	0.02363278036456343
9649.0	0.02463916117999706
9649.5	0.02572969512668893
9650.0	0.026915304409551196
9650.5	0.028208923080378142
9651.0	0.029626001312782715
9651.5	0.031185183021642443
9652.0	0.03290922586469494
9652.5	0.03482629382226727
9653.0	0.0369718129590587
9653.5	0.03939123780740479
9654.0	0.04214436134212538
9654.1	0.042742632526478794
9654.2	0.04335366441811707
9654.3	0.043978109872984804
9654.4	0.0446342526095763
9654.5	0.045312352317361866
9654.6	0.0460061655923656
9654.7	0.046716581669408605
9654.8	0.04744457983240775
9654.83	0.047658870416106766
9654.93	0.04842842623682045
9655.03	0.049224524028523
9655.13	0.05004879217903024
9655.23	0.05090300915798433
9655.33	0.051789144789356055
9655.43	0.052709356499399077
9655.53	0.053666060605517554
9655.63	0.054661921060129064
9655.73	0.05569993574771483
9655.83	0.056783455245047965
9655.93	0.05791625786210667
9656.03	0.05910260967480477
9656.13	0.06034736207817882
9656.23	0.06165604183548391
9656.33	0.06303497489570044
9656.43	0.06449142146717775
9656.53	0.0660337260994606
9656.63	0.06767150528557188
9656.73	0.06941582756020448
9656.83	0.07127938984586707
9656.93	0.0732766450224365
9657.03	0.07542384319966015
9657.13	0.07773881409850764
9657.23	0.08024041550045902
9657.33	0.08294729507243749
9657.43	0.08587571793237304
9657.53	0.08903622732856631
9657.63	0.09242905213580245
9657.73	0.09603907161007737
9657.83	0.09983196578975194
9657.93	0.10375429804055654
9658.03	0.1077404113155115
9658.13	0.1117254515054081
9658.23	0.11565615832212266
9658.33	0.11949983268774057
9658.43	0.12324882042911835
9658.53	0.12691719922156697
9658.63	0.1305357433435782
9658.73	0.13414908337826095
9658.83	0.13781225808338113
9658.93	0.1415840207419065
9659.03	0.14552361240274064
9659.13	0.1496850287549562
9659.23	0.1541123788473156
9659.33	0.15883780270293038
9659.43	0.16388251063590845
9659.53	0.16926032143041045
9659.63	0.17498195843292863
9659.73	0.18105770600061316
9659.83	0.18749680166987548
9659.93	0.19430409308370652
9660.03	0.20147682248854723
9660.13	0.2090045366851927
9660.23	0.21687403972906177
9660.33	0.22507892687821515
9660.43	0.23363059684736368
9660.53	0.24256490418482082
9660.63	0.25193822712865255
9660.73	0.2618110036303274
9660.83	0.2722241084752501
9660.93	0.28317866727711816
9661.03	0.2946299518996356
9661.13	0.3065018483445722
9661.23	0.31872179580093657
9661.33	0.33126765719934304
9661.43	0.3442103762191041
9661.53	0.3577352213707497
9661.63	0.37213307749805324
9661.73	0.38776607703979926
9661.83	0.4050200841235626
9661.93	0.4242568597356076
9662.03	0.4457735283716379
9662.13	0.4697717249653462
9662.23	0.4963362832690731
9662.33	0.525423041705417
9662.43	0.5568601941036712
9662.53	0.5903706143714922
9662.63	0.6256209332521141
9662.73	0.6622971045239134
9662.83	0.7001904769278158
9662.93	0.7392661939596528
9663.03	0.7796854435009175
9663.13	0.8217668117484809
9663.23	0.8658986729484633
9663.33	0.9124312055221812
9663.43	0.9615789514403925
9663.53	1.013349714958067
9663.63	1.067499050300548
9663.73	1.1234996449709769
9663.83	1.18052334745159
9663.93	1.2374471329563148
9664.03	1.2926281307730814
9664.13	1.3447211950128288
9664.23	1.3929666489910626
9664.33	1.4346512759306866
9664.43	1.4714291651602902
9664.53	1.499674114632673
9664.63	1.523263713454161
9664.73	1.5383683987028578
9664.83	1.5497254657068424
9665.03	1.5553894787921358
9665.23	1.5457364033239998
9665.43	1.5264018118816354
9665.63	1.5029507385858627
9665.83	1.4801480563003508
9666.03	1.4610893902957192
9666.23	1.4470087883890774
9666.43	1.4378460302476057
9666.63	1.4330261899150383
9666.83	1.4319695388166664
9667.03	1.4341920255420753
9667.23	1.4391006017544685
9667.43	1.4457222494532038
9667.63	1.4526436856000604
9667.83	1.4582750934085809
9668.03	1.461276392251343
9668.23	1.46086595597675
9668.43	1.456870590157201
9668.63	1.4495759005082278
9668.83	1.439513889583762
