Energy	Absorption
7072.0	0.004129306560905478
7072.5	0.004174561687384543
7073.0	0.004224886703667265
7073.5	0.004276346404503986
7074.0	0.004328978577232105
7074.5	0.004382823670269118
7075.0	0.004437923462572572
7075.5	0.0044943210636400645
7076.0	0.004552062776265306
7076.5	0.004611195967674053
7077.0	0.004671771198388175
7077.5	0.004733840891685611
7078.0	0.004797460398032413
7078.5	0.0048626871967587075
7079.0	0.00492958196049074
7079.5	0.004998209087366892
7080.0	0.00506863510438963
7080.5	0.005140931062397581
7081.0	0.005215170673309474
7081.5	0.005291432438988213
7082.0	0.0053697988529168555
7082.5	0.00545035666630661
7083.0	0.005533197952528883
7083.5	0.0056184193087912525
7084.0	0.005706122920569499
7084.5	0.005796417626039654
7085.0	0.0058894175855379385
7085.5	0.0059852441443168465
7086.0	0.006084026630869166
7086.5	0.006185901026387927
7087.0	0.006291012891954522
7087.5	0.006399515771890629
7088.0	0.006511574120946338
7088.5	0.006627362772084121
7089.0	0.006747067468694851
7089.5	0.006870887259569896
7090.0	0.006999034232793107
7090.5	0.007131735112388876
7091.0	0.0072692333871862145
7091.5	0.007411789044710746
7092.0	0.007559681498372814
7092.5	0.007713210918007526
7093.0	0.007872700358738842
7093.5	0.008038497357627624
7094.0	0.008210977659183783
7094.5	0.008390546013690298
7095.0	0.008577641499363419
7095.5	0.00877273858678471
7096.0	0.00897635379160129
7096.5	0.009189047005065882
7097.0	0.009411429477277109
7097.5	0.009644167542691639
7098.0	0.009887989538932426
7098.5	0.010143693790029022
7099.0	0.01041215685576587
7099.5	0.010694343377678673
7100.0	0.010991317255590818
7100.5	0.011304255219121852
7101.0	0.01163446306027611
7101.5	0.011983392132139314
7102.0	0.012352662500275427
7102.5	0.012744087690771575
7103.0	0.013159704760443158
7103.5	0.013601812616387265
7104.0	0.01407301485937227
7104.5	0.014576275134303861
7105.0	0.01511498525387559
7105.5	0.015693050353131996
7106.0	0.016314997195428636
7106.5	0.016986117604649378
7107.0	0.01771265846632544
7107.1	0.017863755126534108
7107.2	0.01802115907879223
7107.3	0.01817998830555111
7107.4	0.018340282989120233
7107.5	0.018502085440673163
7107.58	0.018637669334447642
7107.68	0.01880625275030756
7107.78	0.018977857290403303
7107.88	0.01915257103648613
7107.98	0.019330486594143464
7108.08	0.0195117008266909
7108.18	0.019696315387388193
7108.28	0.019884436985547295
7108.38	0.020076178184856373
7108.48	0.020271657403379807
7108.58	0.020470999977990244
7108.68	0.020674337898260557
7108.78	0.02088181220143598
7108.88	0.02109357164189401
7108.98	0.021309775884440555
7109.08	0.021530594439877898
7109.18	0.021756209858300787
7109.28	0.02198681799520448
7109.38	0.022222630406456806
7109.48	0.02246387674327026
7109.58	0.022710806348850067
7109.68	0.022963691983906336
7109.78	0.023222834350490187
7109.88	0.02348856475307389
7109.98	0.0237612522834671
7110.08	0.02404131073962514
7110.18	0.02432920634278126
7110.28	0.024625468381767057
7110.38	0.02493070384895299
7110.48	0.025245613672837012
7110.58	0.025571014006685325
7110.68	0.02590786257322538
7110.78	0.026257293258687156
7110.88	0.02662065496457256
7110.98	0.026999563498717426
7111.08	0.027395942023708913
7111.18	0.02781208172951184
7111.28	0.028250646357304798
7111.38	0.028714618977878206
7111.48	0.02920709708846671
7111.58	0.02973082692373196
7111.68	0.03028745303117483
7111.78	0.030876621487142212
7111.88	0.031495591379132666
7111.98	0.03214052010748395
7112.08	0.032809504999925646
7112.18	0.03350222938792603
7112.28	0.03422038837950785
7112.38	0.034965325820120845
7112.48	0.03573463609335597
7112.58	0.03652061537232808
7112.68	0.03731167465320822
7112.78	0.03809205235857299
7112.88	0.038847399944531305
7112.98	0.03956935363633358
7113.08	0.04025778037997489
7113.18	0.040918614384074896
7113.28	0.041558721235287706
7113.38	0.04218240390013259
7113.48	0.042792475140273664
7113.58	0.04339415067270399
7113.68	0.043997601145560006
7113.78	0.04461698882712592
7113.88	0.04526725834323489
7113.98	0.045961238761041766
7114.08	0.04670845408621908
7114.18	0.047515386709886746
7114.28	0.04838637153152524
7114.38	0.04932450604836919
7114.48	0.05033232360867238
7114.58	0.05141222982884386
7114.68	0.05256678732901846
7114.78	0.05379889934758365
7114.88	0.05511192150654364
7114.98	0.056509760271483016
7115.08	0.05799695544504981
7115.18	0.05957873338855748
7115.28	0.061261094837628136
7115.38	0.06305087876811491
7115.48	0.0649558581949855
7115.58	0.06698483064904556
7115.68	0.06914772994230275
7115.78	0.07145574591657128
7115.88	0.07392145749747672
7115.98	0.07655897905386151
7116.08	0.07938414401231171
7116.18	0.08241472838788526
7116.28	0.08567075680832337
7116.38	0.08917486175986374
7116.48	0.09295266678277479
7116.58	0.0970331111231277
7116.68	0.10144866261920418
7116.78	0.10623541350038021
7116.88	0.11143314691412827
7116.98	0.11708544603030153
7117.08	0.12339282057324166
7117.18	0.12997960852652396
7117.28	0.137451788389098
7117.38	0.14529431343005994
7117.48	0.1542005413744736
7117.58	0.16355378553707303
7117.78	0.1852872977126737
7117.98	0.21097595727218957
7118.18	0.24098448120960014
7118.38	0.2755461424674198
7118.58	0.3146908436027154
7118.78	0.3579824921311054
7118.98	0.4042918587127927
7119.18	0.4520166537988704
7119.38	0.4995588987901913
7119.58	0.5453741826299907
7119.78	0.5876347424526162
7119.98	0.6242943141055275
7120.18	0.6537659890827873
7120.38	0.6756201093916921
7120.58	0.6907865362510598
7120.78	0.7012478807774744
7120.98	0.7094725874811022
7121.18	0.7178602321191612
7121.38	0.7283598961989939
7121.58	0.7422957065668119
7121.78	0.7603823761154688
