Energy	Absorption
30451.0	0.04801622658684932
30451.5	0.048752191079519704
30452.0	0.04950885862558153
30452.5	0.05028707920376641
30453.0	0.0510877418224416
30453.5	0.05191180487599325
30454.0	0.052760257115190785
30454.5	0.05363415234019636
30455.0	0.05453460940056487
30455.5	0.05546280352199153
30456.0	0.05641997931619051
30456.5	0.057407459454147214
30457.0	0.058426640329492165
30457.5	0.05947900506837949
30458.0	0.06056612352948697
30458.5	0.06168966965052074
30459.0	0.06285142578484149
30459.5	0.06405326969158588
30460.0	0.0652972222385546
30460.5	0.06658543005570758
30461.0	0.0679201742084164
30461.5	0.06930390055384754
30462.0	0.0707392154043362
30462.5	0.07222891154714338
30463.0	0.07377598125433449
30463.5	0.07538362929265778
30464.0	0.07705528593342299
30464.5	0.07879464598213694
30465.0	0.08060568178838202
30465.5	0.08249266926557344
30466.0	0.08446020957408996
30466.5	0.086513276824162
30467.0	0.08865724409562868
30467.5	0.09089791813094732
30468.0	0.09324159571133372
30468.5	0.09569510702302408
30469.0	0.0982658676967891
30469.5	0.10096194819395295
30470.0	0.10379213885578588
30470.5	0.10676604097265424
30471.0	0.10989413183341301
30471.5	0.11318790349744366
30472.0	0.11665993651729935
30472.5	0.12032407340375204
30473.0	0.12419552704144715
30473.5	0.12829109318358642
30474.0	0.132629319580349
30474.5	0.13723073582007903
30475.0	0.142118122200109
30475.5	0.14731680028071387
30476.0	0.15285499716171033
30476.5	0.15876421843230845
30477.0	0.16507973820987018
30477.5	0.17184114989143442
30478.0	0.17909297328138263
30478.5	0.18688542651089882
30479.0	0.19527528902658003
30479.5	0.2043269337074674
30480.0	0.21411352811049866
30480.5	0.22471847423040026
30481.0	0.23623706075426276
30481.5	0.24877847959271518
30482.0	0.2624681286284276
30482.5	0.27745035246385796
30483.0	0.29389163851474803
30483.5	0.31198430747900385
30484.0	0.33195071986409214
30484.5	0.3540479768898213
30485.0	0.37857300301422625
30485.5	0.40586772386522935
30486.0	0.43632383219281445
30486.1	0.44283263106266835
30486.2	0.44948930888531835
30486.3	0.45629776862432797
30486.4	0.4632620867083079
30486.5	0.4703862094670835
30486.6	0.4776744301605747
30486.7	0.48513091194991587
30486.8	0.49275999146128885
30486.9	0.5005660486871369
30487.0	0.5085535937186894
30487.1	0.5167271800134368
30487.2	0.5250913176626082
30487.3	0.5336507769550033
30487.4	0.5424101980806367
30487.5	0.5513743079620466
30487.6	0.5605479636205561
30487.7	0.5699359787112271
30487.8	0.5795431235228595
30487.9	0.5893742550767769
30488.0	0.5994342737605645
30488.1	0.609727949863022
30488.2	0.6202600536729497
30488.3	0.631035355479147
30488.4	0.6420584954716287
30488.5	0.653334113840409
30488.6	0.6648667640429787
30488.7	0.6766607393392577
30488.8	0.6887203763554279
30488.9	0.7010497948863617
30489.0	0.7136528545293608
30489.1	0.726533414881727
30489.2	0.7396949886106675
30489.3	0.7531408281858184
30489.4	0.7668740126117689
30489.5	0.7808973606955372
30489.6	0.7952133009477848
30489.7	0.8098240016816026
30489.8	0.8247312409137252
30489.9	0.8399365364633161
30490.0	0.8554408423881354
30490.1	0.8712448959146337
30490.2	0.8873488705078587
30490.3	0.9037525493365012
30490.4	0.9204551518078482
30490.5	0.937455463666569
30490.6	0.9547517502621908
30490.7	0.972341626450314
30490.8	0.9902221866913966
30490.9	1.0083898315857078
30491.0	1.0268403112395899
30491.1	1.0455691155618132
30491.2	1.0645699564444147
30491.3	1.083835071326529
30491.4	1.103355570124484
30491.5	1.1231215653305848
30491.6	1.1431219985480687
30491.7	1.1633447272236264
30491.8	1.1837761777173095
30491.9	1.2044015187675763
30492.0	1.2252045313925077
30492.1	1.2461673920584964
30492.2	1.2672707160465106
30492.3	1.2884935574520922
30492.4	1.3098132357203116
30492.5	1.3312052489132413
30492.6	1.3526434471750064
30492.7	1.374099815900473
30492.8	1.3955446492002959
30492.9	1.4169464631683966
30493.0	1.4382720392482227
30493.1	1.4594866410640595
30493.2	1.480554057787289
30493.3	1.5014366475026544
30493.4	1.5220956407720914
30493.5	1.5424912707335137
30493.6	1.5625830332983839
30493.7	1.5823299039830236
30493.8	1.6016905113736593
30493.9	1.6206237008878261
30494.0	1.639088404675584
30494.1	1.6570443788459663
30494.2	1.6744522468332437
30494.3	1.6912738029607546
30494.4	1.7074724894697877
30494.5	1.7230134832521045
30494.6	1.737864042780032
30494.7	1.7519938550365612
30494.8	1.7653750788816047
30494.9	1.7779825618833092
30495.0	1.7897942306144097
30495.1	1.8007908304546592
30495.2	1.8109564026197096
30495.3	1.8202780673298005
30495.4	1.828746153908547
30495.5	1.8363542007829388
30495.6	1.8430988687508156
30495.7	1.8489798976146063
30495.8	1.854000019448806
30495.9	1.8581647851349266
30496.0	1.8614824776289753
30496.2	1.8656225245458604
30496.4	1.866534560398134
30496.6	1.8643655534470942
30496.8	1.8592891855713183
30497.0	1.8515001279201022
30497.2	1.8412088369620447
30497.4	1.8286364372661499
30497.6	1.814010861904529
30497.8	1.797562732657524
30498.0	1.7795222810091222
30498.2	1.7601166594387208
30498.4	1.7395669925153245
30498.6	1.7180866856133352
30498.8	1.6958791265006743
30499.0	1.6731359940545734
30499.2	1.6500360006399803
30499.4	1.6267437212204905
30499.6	1.6034085092018022
30499.8	1.5801643663329292
30500.0	1.5571292922122761
30500.2	1.534405934781564
30500.4	1.512081546959568
30500.6	1.4902289840661413
30500.8	1.4689076145137114
30501.0	1.4481642738650404
30501.2	1.428034826018651
30501.4	1.4085451172665862
30501.6	1.3897125808460966
30501.8	1.371547624660018
30502.0	1.3540546720670559
